dept4dig,course#,name,instructor,xlisted_w,ORCdescription,prereqs,Alldistribs,coreqs
AAAS,7,First Year Seminar,,,,,,
AAAS,9,Introduction to AAAS Diaspora Studies,,,"Introduction to AAAS Diaspora Studies is a pluri-disciplinary comparative and trans-historical team-taught course (with three professors) composed of three three-week units, respectively Africa, the Caribbean, and the United States. In addition to literary and social sciences texts, the course will consider music, the visual arts, science, diaspora theory, and research strategies. Topics include the coloniality of modernity; religio-racial self-fashioning; Diaspora identity and identification; African diaspora gender and sexuality; cuisine; pathogenicity, disease and chemical catastrophes.",,INT; WCult:CI,
AAAS,10,Introduction to African-American Studies,,,"A multidisciplinary investigation into the lives and cultures of people of African descent in the Americas. Topics may include: the African background, religion and the black church, popular culture, slavery and resistance, morality and literacy, the civil rights movement, black nationalism, theories of race and race relations.",,SOC; WCult:CI,
AAAS,11,Introduction to African Studies,,,"This course introduces a global socio-historical framework within which to examine Africa in relation to multiple African Diasporas and notions of mobility. Considering the historical contexts of contact between Africa, Europe, and the Americas, we examine cultural, economic, and philosophic aspects of Africa. We will examine how ideas of what it means to be African culturally, racially, and politically are continually produced and contested. The moment of independence of many African nation-states from European colonial rule in the mid 20th century operates as a centering point from which we will examine economics, race, politics, and artistic expressions. We will consider ideas of “tradition” and “modernity,” representations of Africa, more recent processes of commodification, as well as various cultural and political responses to them. ",,SOC; WCult:NW,
AAAS,12,Race and Slavery in U.S. History,,HIST 16,"This course deals with the African heritage, origins of white racial attitudes toward blacks, the slave system in colonial and ante-bellum America, and free Black society in North America. Specific emphasis will be placed on the Afro-American experience and on the relationship between blacks and whites in early American society.  Open to all classes.",,SOC; WCult:W,
AAAS,13,Black America since the Civil War,,HIST 17,"This course is a continuation of HIST 16. Among the topics to be discussed are Black Reconstruction, segregation and disfranchisement, migration, nationalism, Blacks and the New Deal, the impact of war on Blacks, and the 1960s. Open to all classes.",,SOC; WCult:W,
AAAS,14,Pre-Colonial African History,Sackeyfio-Lenoch,HIST 5.01,"This course will examine the social and economic history of Africa to 1800. Several interrelated themes of social organization, the expansion of trade, rise of new social classes, the emergence and disintegration of various states and European intervention will be discussed. Through our readings, we will visit every major historical region of Africa (north, east, central, west and south) at least once during the semester to illuminate the various themes.",,SOC; WCult:NW,
AAAS,15,History of Africa since 1800,Sackeyfio-Lenoch,HIST 66,"This course explores some of the major historical processes unfolding in Africa since 1800. Our analysis will focus on social and economic history as we examine Africa's integration into the international economy during the nineteenth century, the rise of new social classes, and the creation of the colonial and post-colonial state. Our primary case studies will be drawn from east, west and southern Africa to highlight both the similarities and differences of their historical development. Open to all classes.",,SOC; WCult:NW,
AAAS,16,"History, Culture and Society: The Many Faces of Latin America",varies,LACS 4,"The Spanish discovery and conquest of this continent created Latin America and the Caribbean out of the diverse and complex realities of the pre-Columbian world. Since colonial times Latin American and Caribbean cultures have developed against a background of cultural repression, racial conflict, political domination, colonial exploitation, and gender inequality. And yet, in the midst of all this turmoil, Latin America and the Caribbean have produced an extraordinary variety and wealth of artistic creations, ranging from literature to the visual arts, from music to film. In this course we will turn to some of the works by Latin American and Caribbean artists and writers in an attempt to illuminate and explore some of the wonders of the cultural dynamics that shape the many faces of what we call Latin America and the Caribbean.",,LIT; WCult:NW,
AAAS,18.03,Introduction to African Religions,Baum,REL 014,"This course introduces the study of Indigenous African Religions, their cosmologies, histories, ritual structures, and their relationships to other aspects of African cultures.  Of particular importance will be ideas of gendered spiritual power, the spread of African-inspired religions to the Americas, and the nature of orally transmitted religious traditions.  Conversion to Islam and Christianity and reconversion from these religions will also be studied.  Finally, we examine the role of African religions in post-colonial African societies and the impact of globalization. Open to all.",,TMV; WCult:NW,
AAAS,19,Africa and the World,,HIST 5.08,"This course focuses on links between Africa and other parts of the world, in particular Europe and Asia. Readings, lectures, and discussions will address travel and migration, economics and trade, identity formation, empire, and cultural production. Rather than viewing Africa as separate from global processes, the course will address historical phenomena across oceans, deserts, cultures, and languages to demonstrate both the diversity of experiences and the long-term global connections among disparate parts of the world.",,INT or SOC; WCult:NW,
AAAS,20,Feminist Theory,,GOVT 86.35 WGSS 67.05,"This seminar is designed to provide an overview of significant themes and debates within feminist theory. It is organized around several topic areas - most centrally Intersectionality and the Body (including the racially marked body, the covered body and the body in motion, across both national and gender boundaries).",,SOC,
AAAS,20.01,Dartmouth Black Lives,,HIST 10.04,"This course equips students with research methods, critical frameworks, and interview skills to document the lives of Black alumni and contribute to an archive of oral sources on Black history at Dartmouth. Students will be immersed in the theory and practice of oral history, a field in which historians conduct collaborative interviews with narrators to create new records of past events.",,SOC; WCult:CI,
AAAS,20.50,"Lest We Forget: History, Collective Memory and Slavery at Dartmouth",King,SOCY 79.08,,,SOC,
AAAS,21,Racial Justice,,GOVT 27 WGSS 40.03,"This course introduces students to major contemporary racial justice debates. It also considers how theories of racial justice might better include the concerns of women of color as well as LGBT and trans persons of color. Throughout the course we will examine questions such as: What constitutes racial injustice? How is gender implicated in said injustice? What, if anything, do blacks and other people of color owe to one another? Should political possibility and pragmatism bound thinking regarding corrective racial justice?",,SOC,
AAAS,21.10,"Race and Modernity: W.E.B. DuBois, James Baldwin, Lorraine Hansberry",,ENGL 53.43 PHIL 01.17,"This course will examine the classical works of three towering modern intellectuals: W.E.B. Du Bois, James Baldwin, and Lorraine Hansberry. We will wrestle with the rich formulations, subtle arguments, and courageous visions of three Black thinkers who continue to speak with power and passion to our turbulent times.",,LIT; WCult:W,
AAAS,21.50,"The Color Line, Lynching and the Black Public Sphere: Social & Political Thought of Ida Wells & DuBois",,GOVT 86.36,This course will explore the black public sphere through close readings of the writings of W.E.B. Du Bois and Ida B. Wells as well as secondary source material on these thinkers as well as the black public sphere itself.,,TMV,
AAAS,21.75,Black Political Thought,,GOVT 60.19,"This course will explore the black political thought from the antebellum period through the middle of the twentieth century. The course will include the political writings of major black political thinkers such as Frederick Douglass, Harriet Jacobs, Booker T. Washington, W. E. B. Du Bois, Ida B Wells, Martin Luther King, Jr. and Ella Baker as well as secondary source material on these thinkers.",,TMV,
AAAS,22,Religion and the Civil Rights Movement,Booker,REL 061,,,SOC; WCult:CI,
AAAS,22.10,African American Religion and Culture in Jim Crow America,Booker,AAAS 80.08 REL 054,"Jim Crow segregation in the United States compelled many African American men and women to use their bodies—their hands, feet, and voices—to create sacred scenes, sounds, and spaces to articulate their existence in America. This seminar focuses on religious production to explore African American culture in the post-Civil War era. Students will analyze a variety of sources, including music, visual art, film, religious architecture, sermons, food, theater, photography, and news media. Not open to students who have received credit for AAAS 80.08.",,TMV; WCult:CI,
AAAS,22.50,Islam in America,,REL 026 REL 16.03,"Muslim Ban? Malcolm X? Enslaved Muslims? Hijab? This course is about Muslims in America, past, present, and future, and how American Islam is an extension of global Islam and the ways it is uniquely American. As we study religious identity and understandings of Islam in enslaved Muslim narratives, the civil rights movement, waves of immigration, pre- and post- 9/11, and the current Muslim ban, we pay close attention to theorizations of contested histories, race, gender, and class dynamics, intersectionality, model minorityhood, assimilation, discrimination, and Malcolm X’s visit to Dartmouth College, the history and the significance of the Malcolm X murals in the Shabazz building. 
\fNot open to students who have received credit for REL 26
",,TMV; WCult:W,
AAAS,23,The Black Sporting Experience,,HIST 30,"This course examines the historical and contemporary sporting experiences primarily of Black Americans. The decision to refer to this class as a “Black” experience is deliberate, as we will briefly interrogate how race and sports functions for the Black diaspora in the Caribbean, Latin America, and Europe. Despite brief examinations of the diaspora, this class uses sports history as a critical lens to understand American history.",,SOC; WCult:CI,
AAAS,24,The Black Radical Tradition in America,,HIST 037,"This course introduces major currents in the history of black radical thought, with a particular focus on the U.S. after emancipation. This class encourages students to define and evaluate radicalism in the shifting contexts of various liberation struggles. By exploring dissenting visions of social organization and alternative definitions of citizenship and freedom as expressed through nonviolence, armed rebellion, black nationalism, Pan Africanism, socialism, communism, anticolonialism, feminism, queer theory and integrationism, students will confront the meaning of the intersection of race, gender, class and sexuality in social movements.",,SOC; WCult:W,
AAAS,24.50,Contemporary Black Political Thought and the Modern World,,,"In the era and “return” of mass political social movements, the question is perhaps not what is the most urgent political struggle of today; rather, what remains unheard, unseen, and unthought in the struggle for political freedom? This course seeks to familiarize students with the works of contemporary black political thinkers who have contributed to the rich theoretical developments and productive tensions in Black Studies, discourses on black resistance and freedom struggle, and political action itself. The course focuses on several key concepts—such as civic and social death, sovereignty, the collective unconscious, the radical imagination—as a way to examine notions of agency and the psychic life of racial violence, particularly in the context of the United States. What is the dream-work of Black freedom? And how do dreams of (black) freedom become realized and/or barred from larger socio-political, economic, and legal structures to the more abstract registers of language, aesthetics, culture, and the imagination? The course investigates the theoretical tenets within contemporary Black Studies as critical theory, arguing that these are equally contributive to the continental philosophical tradition on questions of life, rights, civil society, and personhood.",,SOC; WCult:W,
AAAS,25,Constructing Black Womanhood,King,SOCY 46 and WGSS 33.01,"This course is a critical examination of the historical and contemporary status of black women in the United States, as presented in fiction, primary accounts, and social science literature. We will explore the nature, extent, and consequences of the multiple discriminations of race, sex, and class, as the context in which these women shaped their social roles and identities within the black community and the larger society. We will consider the themes of family, motherhood, and sexuality; educational, economic and political participation; aesthetics and religious traditions; self and social images.",,SOC; WCult:CI,
AAAS,26,Toni Morrison,Moodie,ENGL 63.02,"This course is an in-depth study of Toni Morrison’s major fictional works. We will also read critical responses by and about the author. We will examine Morrison’s earliest and arguably most foundational and influential works. Required texts will include, The Bluest Eye, Sula, Song of Solomon, Tar Baby, Beloved, A Mercy, and Conversations with Toni Morrison. Central to our exploration will be an analysis of Morrison’s observation that “the past affects the present.” Therefore, we will explore the social and historical factors that contribute to Morrison’s artistic constructions. Some of the issues we will examine include, alternative constructions offemale community and genealogy, and representations of race, class, nationhood, and identity.",,INT or LIT; WCult:CI,
AAAS,27,Transformative Spiritual Journeys. Contemporary Memoirs of African American Religion,Booker,,"This course presents African Americans who have created religious and spiritual lives amid the variety of possibilities for religious belonging in the second half of the twentieth century and the early twenty-first century. By engaging an emerging canon of autobiographies, we will take seriously the writings of theologians, religious laity, spiritual gurus, hip hop philosophers, LGBT clergy, religious minorities, and scholars of religion as foundational for considering contemporary religious authority through popular and/or institutional forms of African American religious leadership. Themes of spiritual formation and religious belonging as a process—healing, self-making, writing, growing up, renouncing, dreaming, and liberating—characterize the religious journeys of the African American writers, thinkers, and leaders whose works we will examine. Each weekly session will also incorporate relevant audiovisual religious media, including online exhibits, documentary films, recorded sermons, tv series, performance art, and music.",,TMV; WCult:CI,
AAAS,28.10,"Race, Space, and Nature",,GEOG 40.03,"Ideas of racial difference are frequently advanced as “natural” truths about the world, linked to normative conceptions of environmental relations. Reciprocally, racism—as a set of deadly ideological and material practices articulated around purported group differences—has profoundly shaped conceptions of non-human nature. This course asks how race is inflected in the politics and practices through which humans interact with the “natural” world, and explores the implications for contemporary movements and mobilizations for environmental justice.",,SOC,
